Cidades,Cluster,Número do Cluster,Perfil,Nome do Cluster,tx_distorcao_fundamental,taxa_escolas_por_habitante,ideb_ano_inicial,Total_alfabetização,Taxa de abandonos EF
Nova Santa Rita,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,15.0,0.4906771344455348,4.1,77.28,0.7
Novo Oriente do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,26.3,0.6560603575528948,5.413063063063064,74.93,1.4
Novo Santo Antônio,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,16.4,0.7074637424831978,5.1,70.86,0.0
Oeiras,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,6.5,0.471685752469799,7.1,82.67,0.0
Olho D'Água do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,7.4,0.3792188092529389,6.4,77.92,0.3
Padre Marcos,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,0.2,0.6267627702914447,6.6,65.99,0.0
Paes Landim,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,21.7,0.7338551859099804,6.0,80.42,1.2
Pajeú do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,2.6,0.6666666666666666,6.4,76.64,0.0
Palmeira do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,28.3,1.2116316639741518,6.3,80.74,0.0
Palmeirais,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,22.6,0.6031363088057901,3.9,75.8,0.0
Paquetá,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,30.4,0.5245213742460005,4.7,65.72,1.6
Parnaguá,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,28.4,0.4949025042066713,6.2,82.97,1.9
Parnaíba,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,25.2,0.178836820651336,5.5,88.26,0.8
Passagem Franca do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,21.4,0.7255139056831923,4.6,74.49,1.7
Patos do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,14.1,0.3686635944700461,5.6,69.53,0.0
Pau D'Arco do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,23.7,0.5154639175257733,5.413063063063064,74.21,0.0
Paulistana,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,18.4,0.6649251959154595,5.2,77.19,0.2
Pavussu,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,21.5,0.5512679162072768,4.2,71.07,1.7
Pedro II,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,16.7,0.5541774423391567,5.0,75.19,0.3
Pedro Laurentino,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,16.6,0.8136696501220504,5.3,80.25,2.4
Picos,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,17.0,0.4453002768082801,5.1,86.29,2.0
Pimenteiras,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,18.7,0.6172295212062429,4.4,72.13,0.2
Pio IX,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,6.5,0.4542099585533413,5.3,75.22,0.8
Piracuruca,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,5.7,0.277334812452333,7.0,76.74,0.0
Piripiri,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,12.6,0.5340413195398089,5.8,80.82,0.2
Porto,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,14.7,0.414868901427149,5.3,74.64,0.0
Porto Alegre do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,12.8,0.8460236886632826,5.3,79.51,0.3
Prata do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,18.4,0.3287310979618672,5.1,73.84,1.3
Queimada Nova,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,15.2,0.4577706569008926,5.8,79.28,0.7
Redenção do Gurguéia,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,25.5,0.7147962830593281,4.8,82.07,2.2
Regeneração,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,15.7,0.7004027315706531,4.4,74.82,0.8
Riacho Frio,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,25.9,0.4801920768307323,4.6,83.49,1.5
Ribeira do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,12.2,0.7398273736128237,5.0,72.86,0.9
Ribeiro Gonçalves,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,9.8,0.6489292667099286,6.4,83.29,0.8
Rio Grande do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,23.1,0.5171522151353215,5.8,77.87,0.0
Santa Cruz do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,10.7,0.3429943405933802,5.2,76.11,0.3
Santa Cruz dos Milagres,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,12.3,0.5822416302765648,5.5,76.77,1.0
Santa Filomena,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,16.6,0.8214227041235419,5.0,82.18,0.7
Santa Luz,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,21.5,0.7496251874062968,4.9,81.73,3.0
Santa Rosa do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,9.4,0.6451612903225806,6.6,76.17,0.2
Santana do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,8.9,0.4848484848484848,5.9,73.25,1.1
Santo Antônio de Lisboa,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,18.9,0.3425244048638465,4.8,78.85,1.2
Santo Antônio dos Milagres,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,13.4,0.4677268475210477,5.3,78.04,0.0
Santo Inácio do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,9.7,0.8228195282501372,5.3,75.64,0.0
Sebastião Barros,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,33.5,1.2492192379762648,3.8,81.08,1.8
Sebastião Leal,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,18.9,0.899685110211426,5.8,79.18,1.9
Sigefredo Pacheco,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,10.6,0.5285412262156448,6.1,72.81,1.0
Simplício Mendes,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,6.1,0.5046863734679163,6.7,83.53,0.0
Simões,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,8.5,0.5574912891986062,7.3,76.78,0.0
Socorro do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,16.1,0.9659502535619416,4.9,78.55,1.0
Sussuapara,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,23.4,0.3215434083601286,5.2,77.7,1.2
São Braz do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,13.7,0.6883891693437356,5.5,77.18,0.1
São Francisco de Assis do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,21.4,1.0768126346015794,4.2,74.37,1.6
São Francisco do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,13.9,1.2982195845697329,6.8,72.99,0.1
São Félix do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,12.6,1.055594651653765,6.0,77.91,0.3
São Gonçalo do Gurguéia,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,22.7,1.0179843909060062,4.3,82.11,2.0
São Gonçalo do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,14.2,0.8269588587967748,4.7,79.2,0.0
São José do Divino,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,4.4,1.4459822350753977,6.6,69.87,0.0
São José do Peixe,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,15.5,0.6066120715802245,5.5,79.69,0.0
São José do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,13.9,0.4547521600727603,5.0,72.57,0.3
São João da Canabrava,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,9.0,0.4714757190004714,6.9,75.21,0.2
São João da Fronteira,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,13.6,0.5432814197754436,5.2,73.19,1.2
São João da Serra,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,8.8,0.8177952240758913,5.9,71.77,0.0
São João da Varjota,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,17.8,1.1407711613050422,5.2,72.33,0.0
São João do Arraial,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,8.7,0.8551184949914489,5.9,76.95,0.3
São João do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,13.2,0.4201484524532001,5.5,82.99,0.7
São Julião,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,14.4,0.6639004149377593,5.7,72.34,0.0
