"Tabela 9543 - Taxa de alfabetização das pessoas de 15 anos ou mais de idade por sexo, cor ou raça e grupos de idade"
"Variável - Taxa de alfabetização das pessoas de 15 anos ou mais de idade (%)"
"Município";"Idade";"Ano x Sexo x Cor ou raça"
"Canindé (CE)";"Total";"80,76"
"Capistrano (CE)";"Total";"79,61"
"Caridade (CE)";"Total";"77,47"
"Cariré (CE)";"Total";"77,00"
"Caririaçu (CE)";"Total";"76,89"
"Cariús (CE)";"Total";"74,64"
"Carnaubal (CE)";"Total";"78,46"
"Cascavel (CE)";"Total";"83,86"
"Catarina (CE)";"Total";"73,74"
"Catunda (CE)";"Total";"77,13"
"Caucaia (CE)";"Total";"91,58"
"Cedro (CE)";"Total";"77,87"
"Chaval (CE)";"Total";"75,42"
"Choró (CE)";"Total";"75,02"
"Chorozinho (CE)";"Total";"79,58"
"Coreaú (CE)";"Total";"74,01"
"Crateús (CE)";"Total";"82,12"
"Crato (CE)";"Total";"88,40"
"Croatá (CE)";"Total";"73,58"
"Cruz (CE)";"Total";"84,76"
"Deputado Irapuan Pinheiro (CE)";"Total";"73,38"
"Ereré (CE)";"Total";"75,90"
"Eusébio (CE)";"Total";"94,11"
"Farias Brito (CE)";"Total";"75,11"
"Forquilha (CE)";"Total";"81,90"
"Fortaleza (CE)";"Total";"94,38"
"Fortim (CE)";"Total";"80,93"
"Frecheirinha (CE)";"Total";"76,91"
"General Sampaio (CE)";"Total";"75,28"
"Graça (CE)";"Total";"73,55"
"Granja (CE)";"Total";"71,01"
"Granjeiro (CE)";"Total";"76,94"
"Groaíras (CE)";"Total";"79,76"
"Guaiúba (CE)";"Total";"82,38"
"Guaraciaba do Norte (CE)";"Total";"78,87"
"Guaramiranga (CE)";"Total";"78,63"
"Hidrolândia (CE)";"Total";"78,71"
"Horizonte (CE)";"Total";"88,61"
"Ibaretama (CE)";"Total";"73,72"
"Ibiapina (CE)";"Total";"80,60"
"Ibicuitinga (CE)";"Total";"75,63"
"Icapuí (CE)";"Total";"81,95"
"Icó (CE)";"Total";"74,10"
"Iguatu (CE)";"Total";"82,99"
"Independência (CE)";"Total";"76,64"
"Ipaporanga (CE)";"Total";"76,56"
"Ipaumirim (CE)";"Total";"80,75"
"Ipu (CE)";"Total";"79,09"
"Ipueiras (CE)";"Total";"75,31"
"Iracema (CE)";"Total";"78,35"
"Irauçuba (CE)";"Total";"79,91"
"Itaiçaba (CE)";"Total";"81,61"
"Itaitinga (CE)";"Total";"89,79"
"Itapajé (CE)";"Total";"81,66"
"Itapipoca (CE)";"Total";"85,00"
"Itapiúna (CE)";"Total";"75,28"
"Itarema (CE)";"Total";"81,74"
"Itatira (CE)";"Total";"75,45"
"Jaguaretama (CE)";"Total";"76,71"
"Jaguaribara (CE)";"Total";"79,90"
"Jaguaribe (CE)";"Total";"81,79"
"Jaguaruana (CE)";"Total";"77,71"
"Jardim (CE)";"Total";"78,99"
"Jati (CE)";"Total";"78,49"
"Jijoca de Jericoacoara (CE)";"Total";"85,74"
"Juazeiro do Norte (CE)";"Total";"89,11"
"Jucás (CE)";"Total";"75,77"
"Lavras da Mangabeira (CE)";"Total";"78,65"
"Limoeiro do Norte (CE)";"Total";"85,72"
"Madalena (CE)";"Total";"79,09"
"Maracanaú (CE)";"Total";"92,79"
"Maranguape (CE)";"Total";"89,16"
"Marco (CE)";"Total";"82,85"
"Martinópole (CE)";"Total";"78,14"
"Massapê (CE)";"Total";"78,08"
"Mauriti (CE)";"Total";"75,85"
"Meruoca (CE)";"Total";"83,60"
"Milagres (CE)";"Total";"78,89"
"Milhã (CE)";"Total";"81,33"
"Miraíma (CE)";"Total";"78,27"
"Missão Velha (CE)";"Total";"79,44"
"Mombaça (CE)";"Total";"73,43"
"Monsenhor Tabosa (CE)";"Total";"78,63"
"Morada Nova (CE)";"Total";"79,17"
"Moraújo (CE)";"Total";"77,48"
"Morrinhos (CE)";"Total";"78,09"
"Mucambo (CE)";"Total";"75,97"
"Mulungu (CE)";"Total";"84,49"
"Nova Olinda (CE)";"Total";"83,64"
"Nova Russas (CE)";"Total";"79,25"
"Novo Oriente (CE)";"Total";"72,93"
"Ocara (CE)";"Total";"75,94"
"Orós (CE)";"Total";"77,29"
"Pacajus (CE)";"Total";"86,12"
"Pacatuba (CE)";"Total";"91,37"
"Pacoti (CE)";"Total";"83,70"
